DRUH,ID_IND,TYP_IND,LIM_IND,JEDNOTKA,KLIC,UROVEN
Phengaris nausithous,POP_PRESENCE,val,ano,NA,ano,lok
Phengaris nausithous,STA_PRITOMNOSTROSTLIN,val,jednotlivì,NA,ne,lok
Phengaris nausithous,STA_PRITOMNOSTROSTLIN,val,dominantnì,NA,ne,lok
Phengaris nausithous,STA_PRITOMNOSTROSTLIN,val,hojnì,NA,ne,lok
Phengaris nausithous,STA_LIKVIDACE,val,nezaznamenána,NA,ne,lok
Phengaris nausithous,VLV_VLIVY,NA,NA,NA,ne,lok
Phengaris teleius,POP_PRESENCE,val,ano,NA,ano,lok
Phengaris teleius,STA_PRITOMNOSTROSTLIN,val,jednotlivì,NA,ne,lok
Phengaris teleius,STA_PRITOMNOSTROSTLIN,val,dominantnì,NA,ne,lok
Phengaris teleius,STA_PRITOMNOSTROSTLIN,val,hojnì,NA,ne,lok
Phengaris teleius,STA_LIKVIDACE,val,nezaznamenána,NA,ne,lok
Phengaris teleius,VLV_VLIVY,NA,NA,NA,ne,lok
Lycaena dispar,POP_PRESENCE,val,ano,NA,ano,lok
Lycaena dispar,STA_PRITOMNOSTROSTLIN,val,jednotlivì,NA,ne,lok
Lycaena dispar,STA_PRITOMNOSTROSTLIN,val,dominantnì,NA,ne,lok
Lycaena dispar,STA_PRITOMNOSTROSTLIN,val,hojnì,NA,ne,lok
Lycaena dispar,STA_LIKVIDACE,val,nezaznamenána,NA,ne,lok
Lycaena dispar,VLV_VLIVY,NA,NA,NA,ne,lok
Euphydryas aurinia,POP_PRESENCE,val,ano,NA,ano,lok
Euphydryas aurinia,POP_POCET,NA,NA,hnízda housenek,NA,lok
Euphydryas aurinia,POP_POCETSUMLOKAL,min,10,hnízda housenek,ano,lok
Euphydryas aurinia,STA_PRITOMNOSTROSTLIN,val,jednotlivì,kategorie relativní poèetnosti,ne,lok
Euphydryas aurinia,STA_PRITOMNOSTROSTLIN,val,dominantnì,kategorie relativní poèetnosti,ne,lok
Euphydryas aurinia,STA_PRITOMNOSTROSTLIN,val,hojnì,kategorie relativní poèetnosti,ne,lok
Euphydryas aurinia,STA_LIKVIDACE,val,nezaznamenána,NA,ne,lok
Euphydryas aurinia,VLV_VLIVY,NA,NA,NA,NA,lok
Euphydryas maturna,POP_PRESENCE,val,ano,NA,ano,lok
Euphydryas maturna,POP_POCET,NA,NA,hnízda housenek,ne,lok
Euphydryas maturna,POP_POCETSUMLOKAL,min,10,hnízda housenek,ano,lok
Euphydryas maturna,STA_JASANOKOLI,min,jednotlivì,kategorie relativní poèetnosti,ne,lok
Euphydryas maturna,STA_MIKRPROSTLINA,val,dominantnì,kategorie relativní poèetnosti,ne,lok
Euphydryas maturna,STA_LIKVIDACE,val,nezaznamenána,NA,ne,lok
Euphydryas maturna,VLV_VLIVY,NA,NA,NA,ne,lok
Eriogaster catax,POP_PRESENCE,val,ano,NA,ano,lok
Eriogaster catax,POP_POCET,NA,NA,hnízda housenek,NA,lok
Eriogaster catax,POP_POCETSUMLOKAL,min,10,hnízda housenek,ano,lok
Eriogaster catax,STA_LIKVIDACE,val,nezaznamenána,NA,ne,lok
Eriogaster catax,VLV_VLIVY,NA,NA,NA,ne,lok
Euplagia quadripunctaria,POP_PRESENCE,val,ano,NA,ano,lok
Euplagia quadripunctaria,STA_PRITOMNOSTROSTLIN,val,jednotlivì,NA,ne,lok
Euplagia quadripunctaria,STA_PRITOMNOSTROSTLIN,val,dominantnì,NA,ne,lok
Euplagia quadripunctaria,STA_PRITOMNOSTROSTLIN,val,hojnì,NA,ne,lok
Euplagia quadripunctaria,VLV_VLIVY,NA,NA,NA,ne,lok
Cucujus cinnaberinus,POP_PRESENCE,val,ano,NA,ano,lok
Cucujus cinnaberinus,STA_VHSTROMN,val,ano,NA,ne,lok
Cucujus cinnaberinus,STA_VHSTROMK,val,ano,NA,ne,lok
Cucujus cinnaberinus,VLV_VLIVY,NA,NA,NA,ne,lok
Lucanus cervus,POP_PRESENCE,val,ano,NA,ano,lok
Lucanus cervus,STA_VHSTROMN,val,ano,NA,ne,lok
Lucanus cervus,STA_VHSTROMK,val,ano,NA,ne,lok
Lucanus cervus,VLV_VLIVY,NA,NA,NA,ne,lok
Osmoderma barnabita,POP_PRESENCE,val,ano,NA,ano,lok
Osmoderma barnabita,STA_VHSTROMN,val,ano,NA,ne,lok
Osmoderma barnabita,STA_VHSTROMK,val,ano,NA,ne,lok
Osmoderma barnabita,VLV_VLIVY,NA,NA,NA,ne,lok
Rhysodes sulcatus,POP_PRESENCE,val,ano,NA,ano,lok
Rhysodes sulcatus,STA_VHSTROMN,val,ano,NA,ne,lok
Rhysodes sulcatus,STA_VHSTROMK,val,ano,NA,ne,lok
Rosalia alpina,POP_PRESENCE,val,ano,NA,ano,lok
Rosalia alpina,STA_VHSTROMN,val,ano,NA,ne,lok
